"id","game_title","year"
"667","Half-Life 2","2004"
"668","The Incredibles","2004"
"669","Tony Hawk's Underground 2","2004"
"671","Kinect Sports: Season Two","2011"
"672","Kirby's Dream Land 2","1995"
"674","Donkey Kong Land II","1996"
"675","Dragon Warrior Monsters","1998"
"677","Skylanders SWAP Force","2013"
"678","WWE SmackDown vs Raw 2008","2007"
"679","My Fitness Coach","2008"
"680","Resident Evil - Code: Veronica X","2001"
"681","The Sims 3","2010"
"682","The Legend of Zelda: Majora's Mask 3D","2015"
"684","Just Dance Kids","2010"
"685","Mario Tennis","2000"
"686","Grand Theft Auto","1997"
"687","James Bond 007: Everything or Nothing","2004"
"688","WarioWare Touched!","2004"
"689","Need For Speed: High Stakes","1999"
"690","Chrono Trigger","1995"
"691","Cool Boarders 3","1998"
"692","LEGO Marvel Super Heroes","2013"
"693","Guild Wars 2","2012"
"694","Pokemon Ranger: Shadows of Almia","2008"
"697","God of War: Ascension","2013"
"699","Pro Evolution Soccer 2010","2009"
"700","Just Dance 2015","2014"
"701","Yokai Watch Busters","2015"
"702","Mario Bros.","1983"
"706","TOCA Touring Car Championship","1997"
"707","Paper Mario: Sticker Star","2012"
"708","Sonic's Ultimate Genesis Collection","2009"
"709","Super Monkey Ball: Banana Blitz","2006"
"710","Kirby: Nightmare in Dream Land","2002"
"711","Wario Land 4","2001"
"714","Resident Evil 4","2007"
"716","Onimusha 2: Samurai's Destiny","2002"
"717","Cool Boarders 2","1997"
"718","Paper Mario: The Thousand-Year Door","2004"
"720","Monster Hunter Tri","2009"
"721","Dissidia: Final Fantasy","2008"
"722","Sonic Advance","2001"
"723","Spyro: Season of Ice","2001"
"724","Teenage Mutant Ninja Turtles II: The Arcade Game","1990"
"726","Dance Dance Revolution X2","2009"
"727","New Super Luigi U","2013"
"728","Prince of Persia: The Sands of Time","2003"
"729","Scribblenauts","2009"
"730","The Legend of Zelda: Link's Awakening DX","1998"
"732","BioShock 2","2010"
"734","Devil May Cry 3: Dante's Awakening Special Edition","2006"
"735","Rock Band 2","2008"
"736","Frogger","1981"
"737","Guitar Hero II","2007"
"738","Wario Land 3","2000"
"739","Pro Yakyuu Family Stadium","1986"
"740","Sonic Unleashed","2008"
"741","High School Musical: Makin' the Cut!","2007"
"742","Pro Evolution Soccer 2012","2011"
"743","Saints Row","2006"
"744","Star Wars: Knights of the Old Republic","2003"
"745","Kirby's Pinball Land","1992"
"746","Donkey Kong Country","2000"
"747","Hitman: Absolution","2012"
"748","Yu-Gi-Oh: Duel Monsters 4","2000"
"749","ATV Offroad Fury 2","2002"
"750","Forza Motorsport 5","2013"
"751","Madden NFL 25","2013"
"752","Pokemon Ranger","2006"
"753","Mario & Luigi: Superstar Saga","2003"
"754","Final Fantasy XIII","2010"
"755","Star Wars: Rogue Squadron","1998"
"756","Tennis","1984"
"757","The Sims: House Party","2001"
"758","Your Shape featuring Jenny McCarthy","2009"
"759","Syphon Filter 2","2000"
"760","Tom Clancy's Rainbow Six: Siege","2015"
"761","Volleyball","1987"
"763","Call of Duty: Roads to Victory","2007"
"764","Super Mario RPG: Legend of the Seven Stars","1996"
"765","Mahjong","1983"
"766","R.C. Pro-Am","1988"
"767","SimCity 2000","1992"
"768","Demon Attack","1981"
"769","Dance Dance Revolution Extreme","2004"
"770","Tetris DS","2006"
"771","Final Fantasy Tactics Advance","2003"
"772","Far Cry: Primal","2016"
"773","Toy Story 3: The Video Game","2010"
"774","Final Fantasy III","2006"
"775","Kirby's Epic Yarn","2010"
"776","Project Gotham Racing","2001"
"777","Golf","1989"
"780","Tony Hawk's Pro Skater","2000"
